,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude,zipcode
187,188,0.0977983968367,0.000313003032771,Prospect-Lefferts Gardens,188,Brooklyn,40.65733936744572,-73.9447734336128,11203
188,189,0.0486743306502,0.000101427594033,Prospect Heights,189,Brooklyn,40.677220683057875,-73.96812684806724,11238
189,190,0.0743294660829,0.000270873666522,Prospect Park,190,Brooklyn,40.66064340328925,-73.97059331443157,11215
190,191,0.130932637664,0.000688460603185,Queens Village,191,Queens,40.71394840408405,-73.74200247104758,11429
191,192,0.11196461971,0.000373808019026,Queensboro Hill,192,Queens,40.74441059342794,-73.8152021569993,11355
192,193,0.0655299584801,0.000145591657944,Queensbridge/Ravenswood,193,Queens,40.761793541406774,-73.94239238062636,11106
193,194,0.0817938353532,0.000273481702719,Randalls Island,194,Manhattan,40.79145830376352,-73.92492531387032,10035
194,195,0.131308244067,0.000801651953985,Red Hook,195,Brooklyn,40.67546295638451,-74.00928514631666,11231
195,196,0.0832421106332,0.0001974713336,Rego Park,196,Queens,40.72371254876027,-73.86568843367422,11374
196,197,0.108568532229,0.000504689160432,Richmond Hill,197,Queens,40.69266735388762,-73.83006053115416,11419
197,198,0.134094242763,0.000499809882564,Ridgewood,198,Queens,40.70461392432039,-73.90083342753417,11385
198,199,0.0778085005169,0.000288747549303,Rikers Island,199,Bronx,40.79205183008042,-73.88180096934396,11371
199,200,0.112661735435,0.000744643168558,Riverdale/North Riverdale/Fieldston,200,Bronx,40.90007560612429,-73.90846687412984,10471
200,201,0.130404117686,0.000619350747819,Rockaway Park,201,Queens,40.57742185941851,-73.84104052161538,11694
201,202,0.0699215712618,0.000106175396322,Roosevelt Island,202,Manhattan,40.761180806781596,-73.95081168770048,10044
202,203,0.189937815868,0.000615129861659,Rosedale,203,Queens,40.65928494184319,-73.74453868117133,11422
203,204,0.101912418311,0.000641384265972,Rossville/Woodrow,204,Staten Island,40.540775870692265,-74.20652667104866,10309
204,205,0.141953388327,0.000766216513505,Saint Albans,205,Queens,40.691698027395226,-73.76343547832366,11412
205,206,0.212756793386,0.000944392507762,Saint George/New Brighton,206,Staten Island,40.635989629714906,-74.10065353552305,10301
206,207,0.0283756831492,4.47230848441e-05,Saint Michaels Cemetery/Woodside,207,Queens,40.76352213471697,-73.89853618537848,11370
207,208,0.214721009581,0.00202032598969,Schuylerville/Edgewater Park,208,Bronx,40.82468017550547,-73.81617148263088,10465
208,209,0.0306953113473,3.88703351209e-05,Seaport,209,Manhattan,40.70847535091812,-74.00412841215771,10038
